order_id,customer_id,vendor_id,ship_mode,order_status,order_purchase_date,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date
US-2017-127292,TN-21040,VEN02,Standard Class,delivered,2017-11-22 22:30,2017-11-22 22:46,2017-11-23 13:41,2017-11-24 20:15
CA-2015-110093,AG-10675,VEN03,Standard Class,delivered,2018-01-16 21:46,2018-01-17 3:35,2018-01-19 20:42,2018-01-31 12:58
CA-2014-109134,LR-16915,VEN02,Standard Class,delivered,2017-11-27 16:05,2017-11-27 16:15,2017-11-28 23:28,2017-12-27 14:14
CA-2014-131527,CR-12730,VEN02,Standard Class,delivered,2018-04-27 12:59,2018-04-27 13:40,2018-04-27 13:47,2018-05-04 21:24
US-2014-141257,JS-15940,VEN02,Standard Class,delivered,2017-12-06 9:50,2017-12-06 10:13,2017-12-07 20:21,2018-01-05 22:37
CA-2014-130421,AB-10165,VEN02,Standard Class,delivered,2017-11-24 12:48,2017-11-24 14:58,2017-11-27 15:23,2017-12-02 13:22
CA-2014-100678,EB-13840,VEN03,Standard Class,delivered,2017-12-10 23:59,2017-12-11 0:10,2017-12-20 18:52,2017-12-26 22:09
CA-2017-102414,AG-10495,VEN02,Second Class,delivered,2017-04-25 11:30,2017-04-25 11:45,2017-04-28 13:37,2017-05-08 13:39
CA-2017-147277,PC-18745,VEN02,Standard Class,delivered,2017-04-30 11:21,2017-04-30 11:35,2017-05-03 15:15,2017-05-10 13:35
CA-2014-127614,MT-18070,VEN01,Standard Class,delivered,2017-05-18 21:31,2017-05-18 23:42,2017-05-25 6:03,2017-06-06 14:43
CA-2015-130785,AS-10285,VEN03,Standard Class,delivered,2017-08-14 19:45,2017-08-16 3:30,2017-08-18 15:34,2017-09-05 12:55
US-2017-123862,AS-10285,VEN01,Second Class,delivered,2018-02-13 17:53,2018-02-13 18:10,2018-02-15 20:52,2018-03-09 23:32
CA-2014-117345,DB-13060,VEN02,Standard Class,delivered,2018-05-17 16:44,2018-05-18 13:55,2018-05-22 6:18,2018-06-04 18:11
CA-2014-131009,AG-10675,VEN03,Standard Class,delivered,2017-04-10 7:58,2017-04-11 4:02,2017-04-13 13:05,2017-04-20 12:41
CA-2016-158841,AP-10915,VEN02,Second Class,delivered,2018-05-01 22:22,2018-05-01 22:35,?,2018-05-14 20:21
CA-2016-153598,NM-18445,VEN02,First Class,delivered,2018-06-28 10:07,2018-06-28 10:31,2018-07-03 11:58,2018-07-05 16:04
US-2014-117968,VM-21685,VEN02,Second Class,delivered,2017-08-26 1:25,2017-08-29 4:50,?,2017-09-01 19:25
CA-2016-147473,NG-18430,VEN01,Standard Class,delivered,2017-04-09 13:11,2017-04-09 13:25,2017-04-10 16:17,2017-04-18 12:51
CA-2017-112172,LF-17185,VEN02,Second Class,delivered,2018-02-27 15:53,2018-02-28 9:56,2018-03-12 18:24,2018-03-20 22:34
CA-2016-152170,SC-20095,VEN02,Second Class,delivered,2017-12-01 13:01,2017-12-03 12:58,2017-12-05 23:29,2017-12-21 3:34
US-2017-116659,MZ-17515,VEN04,,delivered,2017-11-25 18:33,2017-11-25 18:51,2017-11-28 20:18,2017-12-14 15:16
CA-2017-119284,DS-13180,VEN03,Standard Class,delivered,2018-04-24 14:24,2018-04-24 18:08,2018-04-26 9:38,2018-05-07 20:16
CA-2014-140858,GA-14725,VEN02,Standard Class,delivered,2017-06-14 20:22,2017-06-14 20:36,2017-06-19 8:12,2017-06-19 19:36
CA-2016-162187,PB-19105,VEN02,Same Day,delivered,2017-06-19 1:27,2017-06-19 1:45,2017-06-19 20:52,2017-06-24 12:41
CA-2014-114643,SC-20725,VEN02,Standard Class,delivered,2017-10-12 2:31,2017-10-12 3:20,2017-10-13 22:53,2017-10-17 18:28
CA-2016-146633,DJ-13420,VEN01,Second Class,delivered,2018-04-24 20:24,2018-04-24 20:35,2018-05-08 14:12,2018-05-15 18:29
CA-2014-133228,LT-17110,VEN01,Standard Class,delivered,2017-12-09 19:15,2017-12-11 10:31,2017-12-15 0:14,2018-01-15 15:49
CA-2017-123967,AR-10510,VEN02,Second Class,delivered,2017-06-18 17:10,2017-06-20 10:55,2017-06-20 13:48,2017-06-23 11:23
US-2017-118941,CK-12760,VEN02,Same Day,delivered,2017-07-05 7:54,2017-07-05 17:38,2017-07-06 11:55,2017-07-12 17:53
CA-2015-146563,GB-14530,VEN02,Standard Class,delivered,2017-11-17 13:15,2017-11-17 13:46,2017-11-21 16:36,2017-12-11 16:23
CA-2016-103891,DV-13465,VEN03,Standard Class,delivered,2017-03-22 9:02,2017-03-22 9:02,2017-03-22 11:29,2017-03-27 14:10
CA-2014-120096,DP-13105,VEN01,First Class,delivered,2018-03-12 15:49,2018-03-12 16:13,2018-03-14 1:35,2018-03-21 19:20
CA-2016-161543,SP-20545,VEN02,Standard Class,delivered,2018-03-21 19:32,2018-03-21 19:48,2018-03-22 19:48,2018-03-28 18:56
CA-2014-128062,AJ-10795,VEN03,,delivered,2018-08-01 17:03,2018-08-01 17:15,2018-08-02 13:47,2018-08-03 20:18
CA-2015-136798,MK-17905,VEN02,Standard Class,delivered,2017-04-09 16:40,2017-04-09 17:20,?,2017-04-18 13:41
CA-2016-123666,BN-11515,VEN02,Standard Class,delivered,2017-09-25 21:50,2017-09-25 22:05,2017-09-26 23:17,2017-10-03 23:04
CA-2015-158456,EL-13735,VEN03,Standard Class,delivered,2017-03-27 13:50,2017-03-27 14:02,2017-03-28 12:50,2017-04-07 21:55
CA-2016-103359,FA-14230,VEN04,Standard Class,delivered,2017-09-27 11:18,2017-09-27 11:35,2017-09-28 16:42,2017-10-13 19:08
CA-2017-154732,BD-11320,VEN02,First Class,delivered,2018-08-21 15:22,2018-08-21 15:35,2018-08-22 12:48,2018-08-27 10:41
CA-2015-148964,SP-20860,VEN02,Standard Class,delivered,2018-07-06 19:03,2018-07-07 19:05,2018-07-09 13:59,2018-07-13 22:57
CA-2017-147333,DW-13480,VEN02,Standard Class,delivered,2018-07-25 8:35,2018-07-25 8:45,2018-07-26 14:25,2018-07-27 22:18
CA-2015-131338,NP-18325,VEN02,First Class,delivered,2018-08-22 1:37,2018-08-22 1:45,2018-08-23 7:17,2018-08-27 20:32
CA-2017-146367,XP-21865,VEN03,Standard Class,delivered,2018-05-01 17:38,2018-05-03 4:12,?,2018-05-14 19:03
CA-2017-165099,MH-17785,VEN02,First Class,delivered,2018-06-07 15:50,2018-06-07 16:20,2018-06-08 12:09,2018-06-11 19:28
CA-2015-110947,AS-10240,VEN02,Standard Class,delivered,2017-12-04 17:04,2017-12-04 17:46,2017-12-07 23:57,2017-12-14 16:43
US-2016-108637,AD-10180,VEN02,Standard Class,delivered,2018-01-05 11:50,2018-01-06 2:08,2018-01-10 0:46,2018-01-20 0:23
CA-2017-141733,XP-21865,VEN02,Standard Class,delivered,2018-06-21 14:31,2018-06-21 14:59,2018-06-29 15:24,2018-07-06 18:44
CA-2014-120474,TT-21070,VEN02,First Class,delivered,2017-04-29 20:57,2017-04-29 21:10,2017-05-04 5:52,2017-05-11 11:27
CA-2014-117429,LS-16945,VEN02,Standard Class,delivered,2017-08-28 10:29,2017-08-28 10:45,2017-08-29 18:42,2017-09-06 23:04
CA-2014-104780,EM-14095,VEN02,Standard Class,delivered,2018-03-27 16:41,2018-03-27 16:55,2018-03-28 17:36,2018-03-31 17:44
US-2016-139262,FM-14290,VEN04,Standard Class,delivered,2017-04-28 9:42,2017-04-29 2:45,2017-05-04 8:03,2017-05-11 7:37
CA-2017-149853,RD-19810,VEN01,Standard Class,delivered,2018-08-01 19:19,2018-08-01 19:31,2018-08-06 14:17,2018-08-07 21:13
CA-2014-139451,MS-17980,VEN04,Standard Class,delivered,2018-08-20 17:38,2018-08-20 17:50,?,2018-08-22 19:29
US-2015-126235,SH-19975,VEN01,Same Day,delivered,2018-08-01 23:13,2018-08-01 23:25,?,2018-08-08 17:18
CA-2015-149342,DS-13030,VEN02,Standard Class,delivered,2017-12-15 10:43,2017-12-15 10:51,2017-12-19 16:34,2017-12-21 18:53
CA-2015-142692,AR-10825,VEN01,Standard Class,delivered,2018-08-15 18:21,2018-08-15 18:35,2018-08-16 14:07,2018-08-24 15:48
CA-2016-155565,PO-19180,VEN01,Same Day,delivered,2017-11-25 11:46,2017-11-28 3:46,2017-11-29 22:22,2017-12-05 1:17
CA-2015-115511,PB-19150,VEN02,Standard Class,delivered,2018-04-18 8:22,2018-04-19 2:15,2018-04-20 18:13,2018-04-24 16:07
CA-2017-165603,CA-12265,VEN02,Second Class,delivered,2018-02-27 8:31,2018-02-28 9:56,2018-03-06 22:33,2018-03-23 14:34
CA-2014-121629,EP-13915,VEN02,Standard Class,delivered,2017-03-09 15:51,2017-03-09 15:51,2017-03-16 12:43,2017-03-20 10:18
CA-2016-146157,SP-20545,VEN02,Standard Class,delivered,2018-05-05 12:28,2018-05-08 4:55,2018-05-08 14:21,2018-05-15 20:52
CA-2014-168823,JE-15745,VEN02,First Class,delivered,2017-11-24 20:30,2017-11-25 0:18,2017-11-27 12:39,2017-12-07 1:42
US-2016-125969,HP-14815,VEN01,Second Class,delivered,2018-05-09 17:11,2018-05-09 17:36,2018-05-10 14:28,2018-05-21 15:38
CA-2016-151512,AT-10735,VEN01,Standard Class,delivered,2017-05-12 17:03,2017-05-12 17:15,2017-05-13 8:02,2017-05-22 15:14
CA-2015-163587,RL-19615,VEN02,Standard Class,delivered,2018-08-04 4:59,2018-08-09 23:31,2018-08-06 18:18,2018-08-14 0:07
US-2016-148803,HK-14890,VEN04,Same Day,delivered,2018-08-22 0:07,2018-08-22 0:24,2018-08-22 10:32,2018-08-28 15:03
CA-2016-165015,CS-12130,VEN02,Second Class,delivered,2017-06-25 8:11,2017-06-27 4:03,2017-07-07 19:34,2017-07-28 19:25
CA-2015-111038,FM-14290,VEN01,Standard Class,shipped,2018-01-04 20:25,2018-01-04 20:32,2018-01-05 23:53,
CA-2017-126382,VP-21730,VEN02,Standard Class,delivered,2017-04-03 23:09,2017-04-03 23:22,2017-04-04 14:37,2017-04-11 16:18
CA-2017-104801,SC-20305,VEN01,Standard Class,delivered,2017-09-01 10:26,2017-09-01 10:35,2017-09-01 19:12,2017-09-08 19:07
US-2017-108014,BH-11710,VEN02,Standard Class,delivered,2018-01-12 19:00,2018-01-13 18:54,2018-01-17 0:54,2018-01-29 20:19
CA-2017-105445,DV-13045,VEN02,Second Class,delivered,2018-01-07 16:34,2018-01-07 16:47,2018-01-11 1:06,2018-01-15 18:43
CA-2015-130113,AT-10735,VEN02,Standard Class,delivered,2017-05-31 18:46,2017-06-02 4:33,2017-06-02 13:12,2017-06-13 7:12
CA-2014-167997,FH-14365,VEN03,First Class,delivered,2018-04-28 15:18,2018-04-28 15:35,2018-05-02 15:15,2018-05-12 1:24
US-2015-164308,AH-10195,VEN03,First Class,delivered,2018-06-13 1:26,2018-06-13 1:56,2018-06-14 15:02,2018-06-15 19:22
CA-2017-167661,LR-16915,VEN02,Standard Class,delivered,2018-05-05 16:10,2018-05-05 16:29,2018-05-07 12:53,2018-05-10 23:42
CA-2017-106964,ZD-21925,VEN01,First Class,delivered,2018-03-29 0:31,2018-03-29 9:47,2018-03-30 0:38,2018-04-17 18:54
CA-2017-151428,TB-21520,VEN02,Standard Class,delivered,2018-03-29 17:48,2018-03-29 18:08,2018-04-02 18:05,2018-04-06 21:48
CA-2016-160234,PO-19195,VEN02,Standard Class,delivered,2017-12-11 11:53,2017-12-13 2:38,2017-12-14 22:27,2018-01-04 21:28
CA-2014-138513,PS-18970,VEN02,Standard Class,delivered,2018-08-14 21:21,2018-08-14 21:35,2018-08-17 13:25,2018-08-23 18:38
CA-2015-106215,DP-13105,VEN02,Standard Class,delivered,2017-10-09 18:06,2017-10-09 18:25,2017-10-10 14:38,2017-10-27 19:12
US-2017-100398,MT-18070,VEN02,Standard Class,delivered,2017-05-31 15:39,2017-05-31 15:50,2017-06-02 15:34,2017-06-07 9:38
CA-2017-169124,JF-15355,VEN01,Standard Class,delivered,2017-08-06 17:49,2017-08-06 18:05,?,2017-08-16 17:06
CA-2017-103520,KD-16345,VEN03,First Class,delivered,2017-09-18 22:03,2017-09-18 22:15,?,2017-09-25 22:34
US-2017-122637,RL-19615,VEN01,Second Class,delivered,2017-08-13 20:31,2017-08-13 21:03,2017-08-16 19:49,2017-08-18 21:29
CA-2016-145492,JH-15985,VEN01,Standard Class,delivered,2017-07-03 11:16,2017-07-04 11:24,2017-07-04 16:08,2017-07-14 11:59
CA-2015-146038,BD-11500,VEN02,Standard Class,delivered,2018-03-19 17:39,2018-03-19 17:55,2018-03-20 19:12,2018-03-29 23:13
CA-2014-115084,HW-14935,VEN02,Standard Class,delivered,2017-06-09 18:33,2017-06-09 19:42,2017-06-14 6:51,2017-06-19 17:52
CA-2017-153822,AF-10885,VEN02,Standard Class,delivered,2017-09-18 14:48,2017-09-19 18:07,2017-09-21 19:02,2017-10-02 19:17
CA-2017-108854,MS-17365,VEN01,Standard Class,delivered,2017-03-15 19:57,2017-03-15 19:57,2017-03-20 8:48,2017-03-27 14:44
CA-2017-140326,AA-10480,VEN02,First Class,delivered,2017-08-03 21:30,2017-08-03 21:45,2017-08-04 20:05,2017-08-07 16:42
CA-2017-143294,AJ-10945,VEN02,Standard Class,delivered,2017-06-18 4:07,2017-06-18 4:43,2017-06-19 20:03,2017-06-21 17:07
CA-2016-153185,KD-16270,VEN02,Standard Class,delivered,2018-03-10 14:07,2018-03-10 14:27,2018-03-12 14:31,2018-04-06 23:19
CA-2016-139878,GB-14530,VEN02,Standard Class,delivered,2017-12-05 17:16,2017-12-07 16:31,2017-12-12 1:48,2018-01-13 2:09
CA-2015-164441,AH-10195,VEN02,Standard Class,delivered,2017-03-23 22:45,2017-03-25 2:33,2017-03-28 12:28,2017-04-04 15:10
CA-2017-153871,SF-20200,VEN01,Standard Class,delivered,2018-08-15 23:39,2018-08-17 3:15,2018-08-17 12:08,2018-08-24 19:04
CA-2014-169775,SC-20770,VEN01,Second Class,delivered,2017-09-15 21:27,2017-09-15 21:44,2017-09-19 18:04,2017-09-25 19:42
CA-2016-123337,DO-13435,VEN01,Standard Class,unavailable,2017-02-14 14:49,2017-02-14 15:03,,
CA-2015-124975,JS-15940,VEN02,First Class,delivered,2018-03-21 21:42,2018-03-22 15:35,2018-03-23 21:51,2018-04-03 20:06
US-2014-143707,ZD-21925,VEN03,Standard Class,delivered,2018-01-07 23:43,2018-01-07 23:50,2018-01-16 21:26,2018-02-01 21:33
CA-2014-157147,CR-12625,VEN01,Standard Class,delivered,2018-07-22 12:36,2018-07-23 11:31,2018-07-27 15:38,2018-08-01 19:56
CA-2016-164574,TD-20995,VEN03,Standard Class,delivered,2018-01-26 14:58,2018-01-27 2:46,2018-01-30 21:22,2018-02-05 20:12
CA-2017-134607,VW-21775,VEN03,Second Class,delivered,2018-03-31 1:37,2018-03-31 9:07,2018-04-04 18:41,2018-04-11 19:08
CA-2016-109806,CS-12250,VEN02,Standard Class,delivered,2018-01-05 11:04,2018-01-05 11:15,2018-01-05 21:33,2018-01-23 17:41
US-2015-165743,LE-16810,VEN01,Second Class,delivered,2017-08-24 14:30,2017-08-24 14:45,2017-08-25 17:22,2017-09-05 16:52
CA-2017-100622,ME-17725,VEN01,Standard Class,delivered,2018-07-02 21:06,2018-07-02 21:15,2018-07-05 12:24,2018-07-09 14:56
CA-2014-169684,SC-20695,VEN02,First Class,delivered,2017-05-21 9:51,2017-05-21 10:05,2017-05-22 9:55,2017-05-26 12:03
CA-2017-143112,DV-13465,VEN02,Standard Class,delivered,2017-06-07 7:29,2017-06-07 7:42,2017-06-08 6:26,2017-06-13 16:09
CA-2016-123512,ME-17725,VEN03,First Class,delivered,2018-06-06 19:24,2018-06-08 3:13,2018-06-08 14:03,2018-06-22 17:32
CA-2017-102197,MG-17680,VEN02,Standard Class,delivered,2018-08-15 21:22,2018-08-15 21:35,2018-08-16 14:47,2018-08-17 22:04
CA-2014-106810,BK-11260,VEN02,Standard Class,delivered,2017-11-23 21:18,2017-11-23 21:27,?,2017-12-06 16:09
US-2014-159611,DJ-13420,VEN02,Second Class,delivered,2017-02-14 1:42,2017-02-14 1:55,?,2017-03-01 16:41
CA-2017-169012,DJ-13510,VEN02,Standard Class,delivered,2016-10-04 19:25,2016-10-06 15:51,2016-11-10 13:58,2016-11-17 13:07
CA-2017-107209,DB-13120,VEN02,Second Class,delivered,2017-06-30 19:22,2017-06-30 19:30,2017-07-04 18:22,2017-07-18 12:15
CA-2017-103968,LA-16780,VEN01,Standard Class,delivered,2018-04-06 14:59,2018-04-07 2:47,2018-04-11 10:52,2018-04-14 11:39
CA-2017-166933,KB-16240,VEN03,Standard Class,delivered,2018-04-19 16:39,2018-04-19 16:58,2018-04-20 21:46,2018-04-23 18:54
CA-2017-113908,EB-13870,VEN02,Standard Class,delivered,2017-08-27 14:07,2017-08-27 14:24,2017-08-28 20:50,2017-09-16 13:06
US-2016-164945,FM-14290,VEN02,Standard Class,delivered,2017-11-30 18:50,2017-12-02 2:38,2017-12-05 0:28,2017-12-26 16:13
CA-2016-157217,DB-13615,VEN03,First Class,delivered,2017-09-11 11:11,2017-09-11 11:25,2017-09-14 18:07,2017-09-15 15:22
CA-2015-146262,FM-14380,VEN02,Standard Class,delivered,2018-02-05 17:40,2018-02-05 17:50,2018-02-07 22:38,2018-03-06 16:59
CA-2015-156482,AC-10420,VEN04,Standard Class,delivered,2017-08-10 22:07,2017-08-10 22:24,2017-08-15 15:45,2017-08-16 19:05
US-2017-132675,DP-13165,VEN02,Standard Class,delivered,2018-02-04 12:42,2018-02-04 12:55,?,2018-02-15 22:37
CA-2017-115448,KH-16510,VEN02,First Class,delivered,2017-10-09 14:50,2017-10-09 15:15,2017-10-10 15:43,2017-10-25 19:12
CA-2016-109666,EB-13840,VEN03,Standard Class,delivered,2017-11-05 19:14,2017-11-07 7:30,?,2017-11-17 20:32
CA-2016-169943,DP-13165,VEN02,Standard Class,delivered,2017-09-15 8:28,2017-09-15 8:44,?,2017-09-29 18:51
CA-2014-166191,MG-17680,VEN02,Second Class,delivered,2017-10-12 23:11,2017-10-14 3:46,2017-10-16 21:07,2017-10-26 19:09
CA-2016-114951,MS-17980,VEN04,Standard Class,delivered,2017-07-30 19:43,2017-07-31 19:35,2017-08-03 15:36,2017-08-16 19:13
US-2017-144582,DB-13210,VEN02,Standard Class,delivered,2018-02-15 10:14,2018-02-15 10:27,2018-02-15 21:38,2018-03-15 0:24
US-2016-146710,CB-12535,VEN04,Standard Class,delivered,2017-06-25 16:16,2017-06-25 16:25,2017-06-26 14:43,2017-06-28 16:16
CA-2016-141397,SJ-20500,VEN02,First Class,delivered,2018-04-11 8:54,2018-04-13 2:11,2018-04-17 12:46,2018-04-20 22:02
US-2015-120572,SN-20710,VEN02,Standard Class,delivered,2017-07-01 20:28,2017-07-01 20:44,2017-07-03 14:14,2017-07-06 10:19
CA-2017-135307,JB-15925,VEN02,First Class,delivered,2018-01-13 17:59,2018-01-13 18:09,?,2018-02-02 23:33
US-2015-165512,FH-14365,VEN03,Second Class,delivered,2017-11-24 23:17,2017-11-25 2:14,2017-11-28 21:28,2017-11-29 18:19
US-2016-121013,LC-17140,VEN02,Standard Class,delivered,2018-05-02 15:25,2018-05-02 17:31,2018-05-03 14:39,2018-05-14 14:28
CA-2017-109085,JD-16150,VEN02,First Class,delivered,2017-09-17 13:00,2017-09-19 3:50,2017-09-19 19:25,2017-10-10 17:05
CA-2015-154284,CK-12760,VEN02,Second Class,delivered,2018-04-16 14:33,2018-04-16 14:51,2018-04-17 18:56,2018-04-18 10:43
CA-2015-147529,MC-17845,VEN03,Standard Class,delivered,2018-06-25 9:22,2018-06-25 9:35,?,2018-07-11 21:26
CA-2014-131310,JF-15355,VEN02,Standard Class,delivered,2018-02-13 16:54,2018-02-13 17:05,2018-02-15 19:46,2018-02-16 20:03
CA-2014-103191,EP-13915,VEN01,Standard Class,delivered,2017-06-26 14:49,2017-06-27 4:23,2017-06-27 13:05,2017-06-29 16:57
CA-2017-167899,BF-11020,VEN03,Standard Class,delivered,2017-09-01 13:39,2017-09-01 13:50,2017-09-06 18:42,2017-09-26 20:18
CA-2017-169817,PH-18790,VEN02,Standard Class,delivered,2017-12-16 21:22,2017-12-16 21:31,2017-12-19 0:33,2017-12-30 11:42
CA-2014-163559,CC-12145,VEN02,Second Class,delivered,2018-06-04 11:59,2018-06-04 12:10,2018-06-05 10:15,2018-06-13 19:32
CA-2017-121125,KB-16240,VEN02,Standard Class,delivered,2018-05-29 20:27,2018-05-29 20:54,2018-05-30 14:03,2018-06-13 0:03
CA-2016-119963,BM-11785,VEN02,Standard Class,delivered,2018-02-23 17:28,2018-02-23 17:49,2018-02-27 16:42,2018-03-28 18:34
US-2016-168410,ER-13855,VEN02,Standard Class,delivered,2017-11-20 18:10,2017-11-22 2:50,2017-11-22 20:08,2017-12-05 15:46
CA-2017-121419,DB-13210,VEN04,First Class,delivered,2018-04-22 21:42,2018-04-24 18:40,2018-04-24 22:37,2018-05-04 14:38
US-2016-168095,JG-15115,VEN02,Standard Class,delivered,2017-09-28 15:57,2017-09-28 16:14,2017-09-29 18:31,2017-10-04 23:17
US-2017-145366,FP-14320,VEN02,Standard Class,delivered,2018-07-12 22:14,2018-07-12 22:25,2018-07-18 7:50,2018-07-23 17:48
CA-2015-156104,NZ-18565,VEN02,Second Class,delivered,2018-02-28 13:40,2018-03-01 13:35,2018-03-02 0:55,2018-04-03 23:31
CA-2015-117961,SV-20365,VEN02,Standard Class,delivered,2017-09-05 13:48,2017-09-05 14:04,2017-09-08 22:05,2017-09-15 19:12
CA-2016-105018,BD-11725,VEN02,Standard Class,delivered,2018-06-16 18:31,2018-06-16 18:57,2018-06-19 15:10,2018-06-21 17:48
CA-2014-109491,FH-14365,VEN02,Standard Class,delivered,2018-04-19 22:37,2018-04-19 22:54,2018-04-20 18:56,2018-05-10 19:08
CA-2014-148285,SP-20650,VEN02,Standard Class,delivered,2018-07-04 22:44,2018-07-05 16:35,2018-07-10 11:14,2018-07-13 20:04
CA-2016-159891,DC-13285,VEN02,Standard Class,canceled,2018-02-22 16:58,2018-02-22 17:15,2018-02-23 20:49,
CA-2017-169411,AH-10210,VEN02,Standard Class,delivered,2018-06-05 18:22,2018-06-05 18:35,2018-06-12 8:16,2018-06-14 14:47
CA-2016-169103,GG-14650,VEN02,Standard Class,delivered,2018-01-31 0:04,2018-01-31 1:04,2018-01-31 19:48,2018-02-05 21:21
CA-2014-157623,MG-18145,VEN03,Standard Class,delivered,2017-11-06 11:53,2017-11-07 7:30,2017-11-08 20:48,2017-11-30 23:07
CA-2016-157511,CC-12550,VEN01,First Class,delivered,2018-05-10 23:12,2018-05-10 23:37,2018-05-11 13:47,2018-05-17 17:44
CA-2016-158610,JE-15475,VEN03,First Class,delivered,2018-08-08 22:05,2018-08-08 22:15,2018-08-09 10:47,2018-08-16 20:48
CA-2017-133067,MJ-17740,VEN01,Standard Class,delivered,2018-05-13 22:28,2018-05-13 22:53,?,2018-05-25 13:11
CA-2016-138233,PO-19180,VEN02,Standard Class,delivered,2018-02-14 2:30,2018-02-14 2:47,2018-02-15 20:13,2018-02-23 19:21
CA-2015-146829,DV-13045,VEN03,Same Day,delivered,2017-05-19 22:46,2017-05-19 23:03,2017-05-26 11:15,2017-05-29 14:37
