order_id,customer_id,vendor_id,ship_mode,order_status,order_purchase_date,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
CA-2016-137393,SS-20140,VEN01,,delivered,2017-08-01 7:51,2017-08-02 11:22,2017-08-08 14:18,2017-08-16 13:38,2017-08-14
CA-2015-163055,NP-18325,VEN02,Std Class,delivered,2018-06-15 21:45,2018-06-15 22:20,2018-06-19 14:46,2018-07-02 17:19,2018-07-17
CA-2016-130911,LL-16840,VEN03,2nd Class,delivered,2017-03-07 12:16,2017-03-07 12:32,2017-03-09 13:19,2017-03-13 6:03,2017-03-24
CA-2015-103205,BN-11515,VEN02,2nd Class,delivered,2017-10-13 14:30,2017-10-14 3:56,2017-10-16 19:42,2017-11-06 14:42,2017-11-06
CA-2014-128209,TB-21595,VEN02,Std Class,delivered,2017-11-14 22:50,2017-11-14 23:06,2017-11-16 20:34,2017-12-05 18:53,2017-12-11
CA-2017-163160,Dl-13600,VEN02,1st Class,delivered,2017-12-26 9:40,2017-12-26 9:48,2017-12-26 20:28,2018-01-03 16:34,2018-01-26
CA-2017-160122,SR-20740,VEN02,Std Class,delivered,2017-02-01 15:30,2017-02-01 15:41,2017-02-02 16:16,2017-02-09 12:17,2017-03-06
CA-2017-141138,SN-20710,VEN01,Std Class,delivered,2018-02-28 17:07,2018-02-28 17:49,2018-03-06 14:21,2018-03-07 16:37,2018-03-13
CA-2017-104913,ME-17725,VEN03,Std Class,delivered,2018-06-26 13:37,2018-06-26 13:56,2018-06-28 18:08,2018-07-04 21:03,2018-07-13
CA-2016-159373,JC-16105,VEN02,Std Class,delivered,2018-03-21 10:15,2018-03-21 10:28,2018-03-22 19:52,2018-04-04 15:47,2018-04-17
CA-2016-137050,CK-12595,VEN01,2nd Class,delivered,2018-07-08 22:01,2018-07-08 22:15,2018-07-11 14:28,2018-07-16 15:38,2018-07-30
CA-2014-107398,EB-13840,VEN02,,delivered,2017-06-09 14:08,2017-06-10 3:03,2017-06-12 15:44,2017-06-14 14:44,2017-06-23
CA-2014-165764,BB-10990,VEN02,Std Class,delivered,2017-04-24 10:25,2017-04-25 7:55,2017-04-25 13:11,2017-05-15 10:32,2017-05-17
US-2017-100482,CA-12775,VEN02,Std Class,delivered,2018-04-12 15:49,2018-04-12 16:09,2018-04-13 20:10,2018-04-20 18:28,2018-05-08
CA-2014-146283,EL-13735,VEN02,,delivered,2018-03-22 10:10,2018-03-23 2:15,2018-03-26 14:58,2018-04-05 17:40,2018-04-13
CA-2014-130813,JB-15400,VEN02,2nd Class,delivered,2018-08-07 10:50,2018-08-07 11:05,2018-08-10 9:54,2018-08-22 16:27,2018-09-10
CA-2016-164896,RP-19390,VEN02,Std Class,delivered,2017-07-15 16:01,2017-07-15 16:10,2017-07-21 22:53,2017-08-18 17:57,2017-08-16
CA-2016-121377,DL-13315,VEN04,Std Class,delivered,2017-11-19 22:04,2017-11-19 22:15,2017-11-22 11:31,2017-11-28 16:28,2017-12-08
CA-2017-154809,KC-16675,VEN02,Std Class,delivered,2018-03-22 14:59,2018-03-22 15:15,2018-03-23 19:49,2018-04-03 1:41,2018-04-18
CA-2014-109932,FA-14230,VEN01,1st Class,delivered,2018-03-17 13:03,2018-03-17 13:15,2018-03-21 19:37,2018-03-24 0:15,2018-04-16
CA-2017-140872,OT-18730,VEN01,Std Class,delivered,2017-09-29 15:42,2017-09-29 15:56,2017-10-02 16:35,2017-10-16 13:44,2017-10-18
CA-2014-133809,LS-17245,VEN02,2nd Class,delivered,2017-08-15 19:18,2017-08-17 2:50,2017-08-17 15:36,2017-08-22 23:32,2017-09-08
US-2016-161844,MC-17845,VEN03,2nd Class,delivered,2018-03-22 16:02,2018-03-22 16:50,2018-03-23 18:48,2018-04-03 17:07,2018-04-11
CA-2016-131835,JH-15910,VEN03,Std Class,delivered,2017-11-24 9:21,2017-11-24 9:34,2017-11-24 15:55,2017-12-12 19:23,2017-12-19
CA-2015-156510,PS-18970,VEN02,Std Class,delivered,2018-08-22 7:28,2018-08-22 7:44,2018-08-22 14:55,2018-08-24 19:46,2018-09-06
CA-2017-102659,JE-15475,VEN02,Std Class,delivered,2018-04-16 0:04,2018-04-16 0:15,2018-04-16 23:34,2018-04-26 15:32,2018-05-16
CA-2015-150770,ES-14080,VEN01,1st Class,delivered,2018-02-15 12:03,2018-02-15 12:40,2018-02-15 23:06,2018-02-27 18:46,2018-03-09
CA-2014-115336,AG-10765,VEN02,Std Class,invoiced,2018-08-06 23:23,2018-08-07 12:05,,,2018-08-23
US-2016-124163,AH-10210,VEN02,Std Class,delivered,2018-04-05 8:22,2018-04-06 3:28,2018-05-04 15:42,2018-05-08 17:54,2018-05-09
CA-2015-147690,AB-10165,VEN02,Std Class,delivered,2017-05-10 12:11,2017-05-10 13:02,2017-05-18 12:54,2017-05-24 11:05,2017-06-01
CA-2015-156335,RF-19840,VEN02,,delivered,2018-08-02 12:06,2018-08-03 7:45,2018-08-09 15:57,2018-08-20 22:47,2018-08-31
US-2016-148957,GT-14635,VEN02,Std Class,delivered,2018-04-06 20:34,2018-04-06 20:49,2018-04-09 21:26,2018-04-10 22:19,2018-04-18
CA-2017-104003,LM-17065,VEN03,Std Class,delivered,2018-01-13 16:47,2018-01-13 16:58,2018-01-17 23:19,2018-01-23 19:26,2018-02-16
CA-2017-147725,JC-16105,VEN02,Same Day,delivered,2018-08-02 12:05,2018-08-03 2:50,2018-08-07 14:22,2018-08-13 21:21,2018-08-21
CA-2017-108560,AH-10210,VEN03,,delivered,2017-07-20 13:58,2017-07-22 6:42,2017-07-26 15:37,2017-07-27 22:01,2017-08-08
CA-2016-140046,EB-13705,VEN02,,delivered,2018-08-07 1:19,2018-08-08 3:10,2018-08-08 13:35,2018-08-13 14:32,2018-08-24
US-2017-118087,BP-11095,VEN03,Std Class,delivered,2018-06-16 18:30,2018-06-16 18:57,2018-06-19 13:25,2018-06-22 19:48,2018-07-12
CA-2014-159310,AJ-10780,VEN02,,delivered,2018-03-28 19:38,2018-03-29 18:30,2018-04-03 2:08,2018-04-07 12:27,2018-04-24
CA-2015-156377,CV-12805,VEN02,Std Class,delivered,2017-12-12 9:53,2017-12-12 10:10,2017-12-19 9:37,2018-01-08 20:41,2018-01-09
CA-2014-108707,KW-16435,VEN02,Std Class,delivered,2017-06-19 19:50,2017-06-19 20:03,2017-06-20 14:45,2017-06-30 14:55,2017-07-11
CA-2014-169642,CK-12595,VEN02,2nd Class,delivered,2017-07-24 17:18,2017-07-24 17:30,2017-07-26 18:24,2017-08-03 19:22,2017-08-16
CA-2016-154739,GP-14740,VEN01,2nd Class,delivered,2017-05-19 14:12,2017-05-19 14:25,2017-05-22 12:47,2017-06-01 16:15,2017-06-12
US-2014-121734,AP-10915,VEN04,Std Class,delivered,2017-03-10 10:36,2017-03-10 10:36,2017-03-14 12:52,2017-03-23 16:08,2017-04-04
CA-2016-159639,PN-18775,VEN02,Std Class,delivered,2018-02-05 14:10,2018-02-06 5:31,2018-02-07 15:18,2018-02-14 20:29,2018-03-01
CA-2014-108903,MT-18070,VEN03,Same Day,delivered,2018-05-16 16:46,2018-05-16 17:21,2018-05-21 14:47,2018-06-07 17:28,2018-06-18
CA-2017-150707,RB-19705,VEN02,Std Class,delivered,2018-08-15 20:02,2018-08-15 20:15,2018-08-16 15:07,2018-08-21 20:38,2018-08-29
CA-2014-133851,JK-15730,VEN03,Std Class,delivered,2017-10-09 16:28,2017-10-09 16:47,2017-10-24 16:51,2017-10-27 20:57,2017-10-31
CA-2017-117807,ME-17725,VEN01,Std Class,delivered,2017-11-24 20:26,2017-11-24 23:32,2017-11-27 21:35,2018-01-08 20:59,2017-12-19
CA-2014-106229,OT-18730,VEN02,2nd Class,delivered,2018-03-10 10:59,2018-03-10 11:10,2018-03-12 18:12,2018-03-15 20:52,2018-03-22
CA-2017-136007,AH-10210,VEN02,Std Class,delivered,2017-09-01 16:11,2017-09-01 16:24,2017-09-15 18:02,2017-10-02 17:23,2017-09-26
US-2016-154256,BF-11020,VEN01,2nd Class,delivered,2017-11-24 14:18,2017-11-24 16:32,2017-11-27 13:07,2018-01-24 14:43,2017-12-27
CA-2017-151225,CJ-12010,VEN02,1st Class,delivered,2018-06-19 12:05,2018-06-19 17:45,2018-06-20 14:43,2018-06-22 18:06,2018-07-04
CA-2016-166282,RB-19570,VEN01,Std Class,delivered,2018-06-18 18:55,2018-06-19 18:56,2018-06-20 14:45,2018-07-13 12:06,2018-07-18
CA-2017-143665,RF-19735,VEN02,Std Class,delivered,2017-10-31 21:01,2017-10-31 21:15,2017-11-08 19:13,2017-11-14 22:28,2017-11-22
CA-2014-105872,BD-11725,VEN02,Std Class,delivered,2017-11-19 13:22,2017-11-19 13:35,2017-11-22 17:58,2017-12-04 23:59,2017-12-11
CA-2017-107125,CM-12385,VEN02,Std Class,delivered,2017-08-27 18:28,2017-08-27 18:35,2017-08-29 20:27,2017-09-01 18:03,2017-09-18
CA-2015-153535,AS-10225,VEN03,,delivered,2017-12-19 23:30,2017-12-20 0:33,2017-12-21 22:52,2017-12-22 19:53,2018-01-08
CA-2015-164567,SP-20650,VEN03,Std Class,delivered,2018-04-02 16:59,2018-04-02 17:10,2018-04-05 13:03,2018-04-18 18:56,2018-05-02
CA-2017-148922,CC-12430,VEN01,2nd Class,delivered,2017-08-10 11:36,2017-08-10 11:45,2017-08-15 15:33,2017-08-16 18:53,2017-08-23
US-2014-117380,LR-16915,VEN02,Std Class,delivered,2017-11-28 12:05,2017-11-28 12:15,2017-12-01 21:42,2017-12-07 17:54,2017-12-18
CA-2016-139808,JK-15730,VEN02,Std Class,delivered,2017-01-18 20:14,2017-01-18 20:25,2017-01-20 11:07,2017-01-27 17:14,2017-02-20
US-2016-150357,PK-18910,VEN02,Std Class,delivered,2017-08-28 21:47,2017-08-28 21:55,2017-08-31 22:47,2017-09-12 18:53,2017-09-21
US-2014-120236,LS-16945,VEN03,1st Class,delivered,2018-03-31 6:58,2018-03-31 7:47,2018-04-02 21:27,2018-04-10 16:32,2018-04-19
CA-2016-118178,GZ-14470,VEN02,Std Class,delivered,2017-12-21 19:18,2017-12-23 2:12,2017-12-29 0:07,2018-01-10 0:19,2018-01-22
CA-2017-140676,DB-13615,VEN02,1st Class,delivered,2017-01-23 10:21,2017-01-23 10:30,2017-01-24 9:53,2017-01-30 13:32,2017-03-06
CA-2017-101483,AS-10225,VEN02,2nd Class,delivered,2018-03-14 14:55,2018-03-14 15:49,2018-03-15 21:58,2018-03-21 14:02,2018-03-26
CA-2016-114482,MS-17365,VEN01,2nd Class,delivered,2018-04-27 10:24,2018-04-27 10:35,2018-05-04 15:54,2018-05-11 20:21,2018-05-28
CA-2014-164259,BS-11590,VEN02,,delivered,2017-10-28 21:26,2017-10-28 21:46,2017-11-06 11:08,2017-11-13 22:33,2017-11-22
CA-2014-100328,AH-10195,VEN02,Std Class,delivered,2018-05-17 14:22,2018-05-18 0:37,2018-05-18 13:59,2018-06-06 12:55,2018-06-08
US-2014-157406,KM-16720,VEN01,Std Class,delivered,2018-03-28 12:27,2018-03-28 12:47,2018-03-29 22:38,2018-04-02 22:04,2018-04-10
US-2017-147221,CW-11905,VEN02,2nd Class,unavailable,2017-12-04 23:10,2017-12-05 10:30,,,2017-12-27
CA-2017-127929,SC-20725,VEN02,,delivered,2017-12-28 12:01,2017-12-28 12:10,2017-12-28 19:19,2018-01-08 18:32,2018-01-23
CA-2015-120621,DB-13210,VEN02,Std Class,delivered,2017-07-25 20:13,2017-07-25 20:25,2017-07-26 21:57,2017-07-31 18:29,2017-08-16
CA-2015-113110,DK-13225,VEN01,Std Class,delivered,2017-10-06 19:16,2017-10-10 6:34,2017-10-10 19:03,2017-10-17 21:33,2017-11-10
US-2015-129637,JK-15730,VEN02,,delivered,2017-11-04 9:44,2017-11-07 7:30,2017-11-07 20:16,2017-11-13 22:58,2017-11-24
CA-2015-102806,TW-21025,VEN02,Std Class,delivered,2017-11-08 10:43,2017-11-10 2:56,2017-11-10 21:23,2017-11-13 17:47,2017-11-22
CA-2016-110730,JF-15490,VEN02,2nd Class,delivered,2017-07-18 13:54,2017-07-19 15:43,2017-07-20 18:34,2017-07-21 20:04,2017-08-07
CA-2016-113817,KH-16690,VEN02,Std Class,delivered,2017-05-29 12:35,2017-05-29 13:05,2017-06-05 15:52,2017-06-12 13:28,2017-06-29
CA-2014-127523,DK-12985,VEN02,Std Class,delivered,2017-12-01 12:43,2017-12-02 18:57,2017-12-05 3:10,2017-12-15 15:25,2017-12-28
US-2015-168704,SF-20200,VEN02,Std Class,delivered,2018-06-25 16:26,2018-06-25 16:55,2018-06-26 14:55,2018-06-29 16:52,2018-07-23
US-2017-163195,GT-14635,VEN02,2nd Class,delivered,2018-03-19 15:54,2018-03-20 3:08,2018-03-22 20:22,2018-04-06 23:36,2018-04-09
US-2015-130512,BH-11710,VEN03,Std Class,delivered,2018-03-04 17:16,2018-03-04 17:30,2018-03-07 3:06,2018-03-08 22:58,2018-03-20
CA-2015-111780,SC-20305,VEN02,2nd Class,delivered,2017-04-20 12:32,2017-04-22 13:21,2017-04-24 13:28,2017-05-07 13:27,2017-05-10
CA-2016-136301,PO-19180,VEN02,2nd Class,delivered,2018-02-25 12:32,2018-02-25 12:49,2018-02-26 19:41,2018-03-15 18:33,2018-04-04
CA-2014-153976,Dl-13600,VEN02,2nd Class,delivered,2017-03-10 10:05,2017-03-10 10:05,2017-03-13 9:05,2017-03-22 14:47,2017-04-03
CA-2017-124191,Dl-13600,VEN03,2nd Class,delivered,2017-07-21 10:03,2017-07-21 10:23,2017-07-25 19:45,2017-07-26 21:13,2017-08-03
CA-2015-101154,JH-15985,VEN03,1st Class,delivered,2017-03-02 8:32,2017-03-02 8:42,2017-03-02 9:22,2017-03-07 11:43,2017-03-31
CA-2017-131366,AG-10765,VEN03,Std Class,delivered,2018-03-28 22:53,2018-03-28 23:07,2018-04-02 20:32,2018-04-04 23:44,2018-04-10
US-2016-128909,BN-11515,VEN03,,delivered,2017-10-12 8:21,2017-10-12 8:28,2017-10-13 16:22,2017-10-21 18:05,2017-11-03
CA-2016-161669,RD-19900,VEN02,1st Class,delivered,2017-10-31 20:30,2017-10-31 20:46,2017-11-03 22:18,2017-11-13 20:34,2017-11-24
CA-2016-149503,BP-11185,VEN04,1st Class,delivered,2018-07-19 20:03,2018-07-21 3:23,2018-07-23 13:27,2018-07-30 21:27,2018-08-02
CA-2014-101602,JK-15730,VEN02,1st Class,delivered,2017-11-24 19:47,2017-11-24 22:58,2017-11-29 15:46,2017-12-19 21:08,2017-12-27
CA-2017-116939,AS-10285,VEN03,Std Class,delivered,2018-05-18 15:30,2018-05-18 15:55,2018-05-18 16:10,2018-06-06 19:26,2018-06-06
CA-2015-109197,CK-12760,VEN02,Std Class,delivered,2017-08-30 14:19,2017-08-30 14:30,2017-08-31 19:04,2017-09-05 23:51,2017-09-18
CA-2017-159667,RC-19825,VEN02,Std Class,delivered,2018-08-03 16:13,2018-08-03 16:25,2018-08-07 12:10,2018-08-13 14:38,2018-08-16
CA-2017-127096,KC-16540,VEN02,2nd Class,delivered,2017-05-05 19:06,2017-05-05 19:22,2017-05-08 11:42,2017-05-13 12:12,2017-05-30
CA-2017-166499,EP-13915,VEN01,1st Class,delivered,2017-06-05 0:11,2017-06-05 0:52,2017-06-06 9:15,2017-06-14 16:48,2017-06-29
CA-2015-103835,AG-10765,VEN02,Std Class,canceled,2018-08-06 20:05,2018-08-06 20:25,,,2018-08-13
CA-2015-139374,BS-11590,VEN01,Std Class,delivered,2018-02-10 16:31,2018-02-10 16:47,2018-02-21 18:47,2018-02-26 18:04,2018-03-15
CA-2017-129567,JF-15355,VEN03,2nd Class,delivered,2018-02-13 11:28,2018-02-13 12:30,2018-02-16 17:49,2018-02-18 12:45,2018-03-01
CA-2017-118367,GT-14755,VEN02,2nd Class,delivered,2017-07-17 6:44,2017-07-17 6:55,2017-07-18 18:56,2017-07-25 21:59,2017-08-04
CA-2017-154109,KW-16435,VEN02,Std Class,delivered,2017-09-16 21:58,2017-09-16 22:10,2017-09-18 14:27,2017-09-27 21:56,2017-10-05
CA-2016-134348,LT-17110,VEN03,Std Class,delivered,2017-03-10 17:33,2017-03-10 17:33,2017-03-14 15:27,2017-03-24 11:12,2017-04-05
CA-2014-159849,BV-11245,VEN02,,delivered,2018-06-11 20:44,2018-06-11 21:40,2018-06-12 13:11,2018-06-14 23:51,2018-07-03
CA-2016-101168,CA-12265,VEN03,Std Class,delivered,2018-01-19 13:44,2018-01-20 13:42,2018-01-23 0:29,2018-01-24 20:19,2018-02-05
CA-2016-149279,JF-15415,VEN02,Std Class,delivered,2017-12-07 8:16,2017-12-07 8:32,2017-12-08 12:45,2017-12-19 23:28,2018-01-16
CA-2016-142097,SC-20095,VEN01,Std Class,delivered,2018-08-03 15:31,2018-08-03 15:45,2018-08-07 14:48,2018-08-09 15:36,2018-08-17
CA-2017-154214,CS-12400,VEN02,2nd Class,delivered,2018-01-18 20:07,2018-01-18 20:19,2018-01-19 15:29,2018-01-25 19:03,2018-02-08
CA-2015-103177,RH-19495,VEN02,1st Class,delivered,2018-03-09 9:10,2018-03-09 9:49,2018-03-09 20:18,2018-04-03 14:56,2018-04-02
CA-2017-150959,DC-13285,VEN03,1st Class,delivered,2017-05-25 12:51,2017-05-25 13:05,2017-05-31 11:35,2017-06-02 9:44,2017-06-07
CA-2017-126242,JK-15730,VEN02,,delivered,2017-05-25 7:35,2017-05-25 7:45,2017-05-30 7:03,2017-06-07 15:06,2017-06-19
CA-2016-125318,SJ-20500,VEN02,Std Class,unavailable,2018-01-31 11:31,2018-01-31 14:23,,,2018-02-16
US-2015-145436,EM-13960,VEN01,Std Class,delivered,2017-06-29 23:08,2017-06-29 23:23,2017-07-06 14:05,2017-07-10 13:48,2017-07-19
CA-2017-143126,JL-15175,VEN02,2nd Class,delivered,2017-08-05 11:01,2017-08-08 3:50,2017-08-08 17:32,2017-08-15 9:15,2017-08-29
CA-2017-157672,SJ-20125,VEN02,1st Class,delivered,2018-05-14 15:24,2018-05-14 15:35,2018-05-15 14:40,2018-05-20 15:02,2018-05-30
CA-2017-161984,BD-11320,VEN02,Std Class,delivered,2017-12-02 10:43,2017-12-04 10:36,2017-12-06 16:28,2018-01-18 23:05,2018-01-03
US-2015-160563,PB-19105,VEN02,Std Class,delivered,2018-03-16 11:02,2018-03-16 11:11,2018-03-21 19:44,2018-04-19 16:47,2018-04-18
CA-2016-145303,DP-13000,VEN02,1st Class,delivered,2018-02-10 17:26,2018-02-10 17:45,2018-02-15 1:56,2018-02-27 21:49,2018-03-12
CA-2016-133697,JK-15730,VEN01,2nd Class,delivered,2017-02-24 17:04,2017-02-24 17:15,2017-03-15 9:55,2017-03-20 8:38,2017-03-22
CA-2016-165148,RC-19825,VEN02,1st Class,delivered,2017-09-29 21:38,2017-09-29 21:49,2017-10-02 14:14,2017-10-09 16:30,2017-10-23
US-2014-164644,CC-12550,VEN02,2nd Class,delivered,2018-04-16 23:01,2018-04-16 23:15,2018-04-17 17:08,2018-04-18 17:24,2018-05-03
US-2014-164616,MA-17560,VEN02,2nd Class,delivered,2017-09-28 19:48,2017-09-28 20:05,2017-09-29 10:53,2017-10-09 19:59,2017-10-23
CA-2014-131450,HK-14890,VEN04,Std Class,delivered,2017-10-16 20:22,2017-10-16 20:35,2017-10-21 12:42,2017-11-14 16:04,2017-11-03
CA-2015-144099,RF-19840,VEN02,Same Day,delivered,2018-01-06 11:46,2018-01-06 11:57,2018-01-13 0:26,2018-01-19 15:24,2018-02-01
CA-2016-105354,SB-20290,VEN01,Std Class,delivered,2017-09-11 17:35,2017-09-11 18:04,2017-09-12 19:33,2017-10-05 20:43,2017-10-11
US-2015-163783,NK-18490,VEN02,,delivered,2017-07-27 18:19,2017-07-29 2:23,2017-07-31 20:19,2017-08-25 20:05,2017-08-30
CA-2017-140760,MT-18070,VEN02,2nd Class,delivered,2017-05-21 19:07,2017-05-21 19:15,2017-05-22 13:22,2017-05-25 10:08,2017-06-13
CA-2015-138457,BN-11470,VEN02,Std Class,delivered,2018-06-02 10:17,2018-06-02 10:31,2018-06-04 11:18,2018-06-16 1:17,2018-07-24
CA-2017-150910,CA-12775,VEN02,Std Class,delivered,2018-05-19 14:07,2018-05-19 14:31,2018-05-22 15:22,2018-06-02 0:14,2018-06-04
CA-2016-128867,JF-15355,VEN03,Std Class,delivered,2018-07-01 20:54,2018-07-02 20:50,2018-07-03 10:48,2018-07-10 22:12,2018-07-26
CA-2017-161578,SF-20965,VEN03,2nd Class,delivered,2017-07-12 8:00,2017-07-12 8:10,2017-07-14 19:05,2017-07-17 18:15,2017-07-25
CA-2016-100153,DV-13045,VEN02,Std Class,delivered,2017-07-30 17:48,2017-07-30 18:05,2017-07-31 19:30,2017-08-03 21:35,2017-08-18
US-2015-132836,BM-11140,VEN01,Std Class,delivered,2018-06-01 16:22,2018-06-01 16:35,2018-06-04 13:54,2018-06-05 18:32,2018-06-26
CA-2017-138310,ON-18715,VEN02,Std Class,delivered,2017-09-22 20:48,2017-09-22 20:55,2017-09-25 17:16,2017-09-29 11:05,2017-10-09
CA-2017-155607,SC-20050,VEN02,Std Class,delivered,2017-07-06 1:37,2017-07-06 1:45,2017-07-12 13:52,2017-07-27 20:16,2017-07-28
CA-2015-135510,EH-13945,VEN02,Std Class,delivered,2017-01-27 18:47,2017-01-28 10:32,2017-01-30 13:20,2017-02-20 15:36,2017-03-16
CA-2016-108882,EP-13915,VEN03,Std Class,delivered,2017-11-16 17:02,2017-11-17 4:26,2017-11-23 18:29,2017-12-22 20:45,2017-12-14
CA-2015-160696,JE-15745,VEN02,Std Class,delivered,2017-06-23 10:38,2017-06-24 2:25,2017-06-26 15:23,2017-07-04 9:42,2017-07-19
CA-2014-151379,AH-10210,VEN01,Std Class,delivered,2018-05-04 17:17,2018-05-04 17:33,2018-05-07 8:37,2018-05-15 19:33,2018-05-30
CA-2016-154403,BP-11095,VEN02,Std Class,delivered,2018-08-15 19:12,2018-08-15 19:23,2018-08-16 15:34,2018-08-18 17:51,2018-08-21
CA-2017-130631,EG-13900,VEN02,Std Class,delivered,2018-01-29 20:19,2018-01-29 20:52,2018-01-30 22:53,2018-02-01 22:05,2018-02-21
CA-2014-154095,PF-19165,VEN01,Std Class,delivered,2017-07-21 12:52,2017-07-21 13:05,2017-07-25 22:19,2017-07-27 19:27,2017-08-11
CA-2016-161025,SP-20860,VEN02,Std Class,delivered,2018-06-11 17:50,2018-06-11 18:19,2018-06-13 14:00,2018-06-18 16:03,2018-06-28
CA-2017-160031,JC-15340,VEN02,2nd Class,delivered,2018-05-12 13:48,2018-05-12 14:11,2018-05-14 13:00,2018-05-21 19:32,2018-05-30
CA-2016-110975,LA-16780,VEN02,Std Class,delivered,2018-06-20 16:19,2018-06-21 3:47,2018-06-21 14:30,2018-06-26 13:58,2018-07-17
CA-2014-111192,DW-13480,VEN02,Std Class,delivered,2018-04-09 22:47,2018-04-10 1:30,2018-04-10 18:51,2018-04-12 19:56,2018-04-25
